DEPTH,AC,ACS,BS,CALI,DEN,DENC,GR,NEU,PEF,RDEP,RMED,ed_deepant,der_deepant,poi,percentile,labels
m,us/ft,us/ft,in,in,g/cm3,g/cm3,gAPI,m,,ohm.m,ohm.m,,,,,
220.8,,,26.0,,,,17.1,,,0.7306,1.4206,,,,,0.0
220.9,,,26.0,,,,17.9,,,0.8377,1.2668,,,,,0.0
221.0,,,26.0,,,,18.3,,,0.6927,1.3555,,,,,0.0
221.1,,,26.0,,,,17.8,,,0.6304,0.6409,,,,,0.0
221.2,,,26.0,,,,16.9,,,0.4638,0.2604,,,,,0.0
221.3,,,26.0,,,,15.6,,,0.7015,0.4309,,,,,0.0
221.4,,,26.0,,,,13.8,,,0.7807,0.9416,,,,,0.0
221.5,,,26.0,,,,12.9,,,0.591,1.2761,,,,,0.0
221.6,,,26.0,,,,12.2,,,0.9574,0.4781,,,,,0.0
221.7,,,26.0,,,,11.5,,,0.7176,0.8825,,,,,0.0
221.8,,,26.0,,,,10.7,,,0.7373,1.558,,,,,0.0
221.9,,,26.0,,,,11.3,,,0.6262,1.0459,,,,,0.0
222.0,,,26.0,,,,12.0,,,0.5329,2.1559,,,,,0.0
222.1,,,26.0,,,,12.0,,,0.6795,0.9068,,,,,0.0
222.2,,,26.0,,,,12.3,,,0.6628,0.931,,,,,0.0
222.3,,,26.0,,,,12.4,,,0.6675,1.2015,,,,,0.0
222.4,,,26.0,,,,12.9,,,0.7114,1.5527,,,,,0.0
222.5,,,26.0,,,,13.3,,,0.8066,1.3854,,,,,0.0
222.6,,,26.0,,,,13.6,,,0.8659,1.2501,,,,,0.0
222.7,,,26.0,,,,13.4,,,0.9925,0.8856,,,,,0.0
222.8,,,26.0,,,,12.6,,,0.7687,1.1907,,,,,0.0
222.9,,,26.0,,,,11.5,,,0.7905,1.1963,,,,,0.0
223.0,,,26.0,,,,10.8,,,0.6681,0.8942,,,,,0.0
223.1,,,26.0,,,,10.4,,,0.6988,0.7934,,,,,0.0
223.2,,,26.0,,,,10.2,,,0.7061,0.6926,,,,,0.0
223.3,,,26.0,,,,10.6,,,0.636,0.7439,,,,,0.0
223.4,,,26.0,,,,11.0,,,0.7315,0.8387,,,,,0.0
223.5,,,26.0,,,,11.4,,,0.777,0.6849,,,,,0.0
223.6,,,26.0,,,,11.7,,,0.7268,1.0304,,,,,0.0
223.7,,,26.0,,,,12.1,,,0.6564,1.8236,,,,,0.0
223.8,,,26.0,,,,12.6,,,0.753,1.2706,,,,,0.0
223.9,,,26.0,,,,12.5,,,0.7996,1.2538,,,,,0.0
224.0,,,26.0,,,,12.2,,,0.8389,0.9468,,,,,0.0
224.1,,,26.0,,,,11.2,,,0.7312,1.0105,,,,,0.0
224.2,,,26.0,,,,10.5,,,0.7805,0.8201,,,,,0.0
224.3,,,26.0,,,,10.3,,,0.6868,0.9155,,,,,0.0
224.4,,,26.0,,,,9.8,,,0.6804,0.86,,,,,0.0
224.5,,,26.0,,,,8.9,,,0.6746,0.6827,,,,,0.0
224.6,,,26.0,,,,9.2,,,0.689,0.6692,,,,,0.0
224.7,,,26.0,,,,8.5,,,0.6553,0.7457,,,,,0.0
224.8,,,26.0,,,,8.4,,,0.6157,0.7434,,,,,0.0
224.9,,,26.0,,,,8.3,,,0.6073,0.5618,,,,,0.0
225.0,,,26.0,,,,9.2,,,0.5405,0.6125,,,,,0.0
225.1,,,26.0,,,,9.3,,,0.5782,0.6469,,,,,0.0
225.2,,,26.0,,,,9.2,,,0.6061,0.7029,,,,,0.0
225.3,,,26.0,,,,10.6,,,0.6246,1.0925,,,,,0.0
225.4,,,26.0,,,,12.4,,,0.7634,0.9328,,,,,0.0
225.5,,,26.0,,,,13.8,,,0.7839,1.1956,,,,,0.0
225.6,,,26.0,,,,14.6,,,0.8126,1.2314,,,,,0.0
225.7,,,26.0,,,,15.3,,,0.8148,1.232,,,,,0.0
225.8,,,26.0,,,,15.7,,,0.8102,1.2675,,,,,0.0
225.9,,,26.0,,,,15.3,,,0.8527,1.3027,,,,,0.0
226.0,,,26.0,,,,15.7,,,0.7913,1.3789,,,,,0.0
226.1,,,26.0,,,,15.6,,,0.8513,1.3758,,,,,0.0
226.2,,,26.0,,,,15.8,,,0.8336,1.2136,,,,,0.0
226.3,,,26.0,,,,16.5,,,0.7834,1.2717,,,,,0.0
226.4,,,26.0,,,,17.2,,,0.7308,1.0459,,,,,0.0
226.5,,,26.0,,,,17.2,,,0.7106,1.4091,,,,,0.0
